,date,profit,currency
0,2021-06-15 10:13:27.203665,-2.21,EUR
1,2021-06-15 17:03:27.902127,-9.54,EUR
2,2021-06-16 10:24:29.441555,-5.26,EUR
3,2021-06-16 15:03:42.721079,-23.49,EUR
4,2021-06-16 18:07:08.069495,-23.19,EUR
5,2021-06-16 19:22:09.649746,-30.71,EUR
6,2021-06-17 08:29:54.280391,-16.35,EUR
7,2021-06-17 12:48:58.907903,-8.93,EUR
8,2021-06-17 17:33:24.052821,-14.93,EUR
9,2021-06-18 09:55:10.957137,-35.1,EUR
10,2021-06-22 14:43:39.897034,-180.38,EUR
11,2021-06-22 19:28:36.938118,-139.07,EUR
12,2021-06-23 10:12:18.228469,-108.88,EUR
13,2021-06-23 13:48:39.449742,-110.39,EUR
14,2021-06-23 16:59:58.054534,-107.03,EUR
15,2021-06-23 20:15:31.495108,-121.66,EUR
16,2021-06-24 10:37:19.644594,-126.99,EUR
17,2021-06-24 18:16:58.094888,-108.1,EUR
18,2021-06-25 13:52:06.001622,-118.72,EUR
19,2021-06-25 16:47:46.589182,-131.22,EUR
20,2021-06-27 11:42:16.758927,-130.74,EUR
21,2021-06-28 12:12:17.856716,-104.38,EUR
22,2021-06-28 15:15:07.041693,-100.96,EUR
23,2021-06-29 20:32:11.972625,-66.65,EUR
24,2021-06-30 18:51:07.629595,-97.06,EUR
25,2021-07-02 14:30:21.013056,-119.95,EUR
26,2021-07-05 10:12:05.010235,-96.68,EUR
27,2021-07-08 11:11:49.187069,-125.27,EUR
28,2021-07-12 15:34:46.396751,-112.89,EUR
